Title,Company,Salary_Min,Salary_Max,Region,Skills_Req,Link,Salary_Text
Бизнес-аналитик,Страховой брокер Сбербанка,0,0,"Москва,","Мы — ищем опытного Бизнес-аналитика в ИТ команду Страхового Брокера Сбербанка. Мы создаем ядро цифровой страховой платформы и ищем бизнес-аналитика для работы с Product Owner над риск-модулями. Ваша задача – помочь как можно быстрее дойти до первого работающего MVP, глубоко погружаясь в страховые процессы и логику работы с рисками. Наша цель — создавать надежный, масштабируемый и технологически совершенный продукт, для внешнего и внутреннего клиента по предоставлению брокерских услуг на рынке ст",https://www.rabota.ru/vacancy/54276380/,по договоренности
Менеджер по работе с маркетплейсами/Аналитик роста продаж,"JCat, сервис размещения объявлений",100000,250000,"Москва,","высокая скорость работы, анализ рынка, анализ продаж, аналитические способности, анализ финансовой отчетности, Визуализация данных, Знание ассортимента, анализ целевой аудитории, Взаимодействие с руководителями подразделений, Анализ статистики и продвижение, Знание современных техник, Ведение аккаунтов на маркетплейсах, Взаимодействие с командами, Взаимодействие с командами разработки, Внедрение новых подходов, Анализ продуктивности",https://www.rabota.ru/vacancy/54278601/,100 000 — 250 000 руб.
Аналитик данных (программист),ФГБУ «ЦНИИОИЗ» МИНЗДРАВА РОССИИ,250000,280000,"Москва,","MS Office, MS SQL Server, PostgreSQL, анализ бизнес-процессов, системный анализ, Python, SQL",https://www.rabota.ru/vacancy/54278712/,250 000 — 280 000 руб.
Аналитик 1С,Jobers,120000,150000,"Москва,","аналитика продаж, внутренний контроль, 1C: Бухгалтерия, 1С: Управление торговлей, 1С: Предприятие 8",https://www.rabota.ru/vacancy/54270940/,120 000 — 150 000 руб.
Главный аналитик в Ситуационный Центр,ФГБУ «ЦНИИОИЗ» МИНЗДРАВА РОССИИ,180000,200000,"Москва,","MS Office, MS Office  Excel, MS Office Word, MS PowerPoint, анализ информации, Python, SQL, Работа с большим объемом информации, BPMN",https://www.rabota.ru/vacancy/54267305/,180 000 — 200 000 руб.
Аналитик / разработчик Apache Superset,Альфастат,60000,80000,"Москва,","Python, SQL, Анализ данных, Business intelligence, Apache Superset",https://www.rabota.ru/vacancy/53216362/,60 000 — 80 000 руб.
"Аналитик/Специалист по обработке данных (DP, Market Research)","ООО ""Профи Исследования""",70000,100000,"Москва,","Обязанности : Консультирование существующих и потенциальных клиентов по разработке дизайнов исследований Ведение текущих исследовательских проектов, разработка методологии, контроль выполнения условий, предусмотренных заключенными договорами Ведение аналитической части исследовательских проектов и контроль качества Расчет размеров и структуры выборок Проверка и подготовка баз данных к расчетам Проведение расчетов в статпакетах SPSS и Excel Подготовка и презентация отчетности Требования : Высшее ",https://www.rabota.ru/vacancy/52775053/,70 000 — 100 000 руб.
Бизнес-аналитик / Системный аналитик (Bitrix24 + бизнес-архитектура),GrowSquad,0,0,"Лагань,","оптимизация бизнес-процессов, анализ бизнес-процессов, системный анализ, описание бизнес-процессов, автоматизация бизнес-процессов, Битрикс24, BPMN",https://www.rabota.ru/vacancy/53906266/,по договоренности
CRM-специалист (ночная смена),Jobers,120000,150000,"Москва,","самостоятельность, усидчивость, уверенный пользователь ПК, обработка данных, ввод данных, Быстрая обучаемость, MS Excel, английский язык, внимательность к деталям, Анализ данных, Аналитическое мышление, CRM-системы, ведение статистики, работа с большими объёмами информации, Работа с CRM, проверка данных, Формирование отчётности, Data Entry, работа с таблицами, Google Sheets, Контроль качества данных",https://www.rabota.ru/vacancy/54263004/,120 000 — 150 000 руб.
Системный аналитик,"ООО ""ТРАНСНЕТ""",120000,200000,Russia,"Обязанности: Проектирование интеграционных взаимодействий Работа с СУБД: Postgres, Clickhouse, MySQL Опытное обращение с Swagger, Apollo GraphQL Проектирование структур хранения данных (постоянных / временных) Требования: Обладать навыками координации разработчиков смежных систем Знание базовых нотаций для проектирования процессов (UML, BPMN). Умение составлять и описывать процессы Базовые навыки работы с Git Опыт работы с терминалом Linux Умение вести и декомпозировать задачи в популярных инстр",https://www.rabota.ru/vacancy/50377275/,120 000 — 200 000 руб.
Системный аналитик (Данные и отчетность),СБЕР,100000,0,"Москва,","Наша команда обеспечивает данными сегмент Private Banking, а также разрабатывает клиентскую и управленческую отчётность для этого сегмента. Мы работаем с самыми важными и состоятельными клиентами банка и стремимся создавать для них максимально качественные продукты. Команда обладает полным стеком компетенций и закрывает весь цикл работ — от улучшения продукта до его реализации. Обязанности Написание BRD (бизнес-требований) и FSD (функциональных спецификаций) Разработка FSD на создание витрин дан",https://www.rabota.ru/vacancy/54281258/,от 100 000 руб.
Аналитик данных,СБЕР,0,0,"Москва,","В команду ипотечного страхования недвижимости требуется аналитик данных. Обязанности формирование специализированных выгрузок и отчётов посредством составления сложных SQL-запросов глубокий анализ клиентского поведения, сегментация клиентской базы, выявление трендов и закономерностей создание интерактивных дашбордов для отслеживания основных KPI и аналитики продуктивности отдела продаж прогнозирование динамики доходов и расходов, разработка сценариев развития бизнеса построение и проверка гипоте",https://www.rabota.ru/vacancy/54281002/,по договоренности
Руководитель направления по аналитике данных (HR-платформа),СБЕР,300000,0,"Москва,","Мы ищем опытных специалистов, готовых решать амбициозные задачи в сфере HR-технологий Сбера. Если вы хотите создавать инновационные продукты и сервисы, влияющие на развитие сотрудников крупнейшей финансовой организации страны — эта позиция для вас! Важно: Наши продукты активно используют AI-агентов (виртуальных ассистентов, системы рекомендаций, автоматизированные HR-помощники). Именно данные и аналитика станут «мозгом» этих агентов. Ваша роль — не просто анализировать прошлое, а создавать алгор",https://www.rabota.ru/vacancy/54281352/,от 300 000 руб.
Менеджер проектов (количественные маркетинговые исследования),"ООО ""Марк Аналитик""",0,0,"Москва,","MS PowerPoint, маркетинговые исследования, MS Excel, IBM SPSS, Research, Количественные исследования, Сегментация, marketing research",https://www.rabota.ru/vacancy/52111636/,по договоренности
ML инженер (middle+),СБЕР,240000,0,"Москва,","Универсальный Агент / База знаний Ops — производственный AI-продукт внутри Сбербанка, автоматизирующий деятельность операционного центра. Операционный центр обрабатывает порядка 3 000 типов задач ежедневно: анализ документов, верификация данных, сверка информации между банковскими системами. Продукт состоит из двух агентных систем, которые работают в связке: УИЦС (Создатель навыков) Агент-компилятор знаний. Читает стандартные операционные процедуры (СОП) и инструкции, преобразует их в машиноиспо",https://www.rabota.ru/vacancy/54280871/,от 240 000 руб.
"Head of ML (VLM, GigaChat Vision)",СБЕР,0,0,"Москва,","Привет! Это GigaChat Vision — команда, которая делает полный цикл обучения VLM моделей. Ищем руководителя направления ML VLM, который возглавит команду целиком: будет формировать техническую стратегию, собирать и развивать команду, синхронизировать ключевые направления и отвечать за результат от идеи до продакшна. Первый этап отбора на эту вакансию – общение с AI-рекрутером. После отклика вам на почту и в чат на платформе HeadHunter придет приглашение пройти первичное интервью с ГигаРекрутером в",https://www.rabota.ru/vacancy/54267207/,по договоренности
Middle DS / GenAI Agent Engineer,СБЕР,200000,300000,"Москва,","R&D-подразделение лаборатории кибербезопасности развивает платформу автономного наступательного тестирования нового поколения. В основе — мультиагентная роевая архитектура на базе LLM, объединяющая инструментальную автоматизацию, методологию MITRE ATT&CK и адаптивную оркестрацию атакующих сценариев. Мы строим среду, в которой LLM-агенты помогают воспроизводить действия Red Team: разведку, эксплуатацию, закрепление, горизонтальное перемещение — от единичных техник до полноценных цепочек атак. Отд",https://www.rabota.ru/vacancy/54280693/,200 000 — 300 000 руб.
Senior ML Engineer (GigaChat TTS),СБЕР,0,0,"Москва,","Наша команда отвечает за качество моделей TTS в SaluteSpeech – той части SberDevices, которая занимается звуком. Наш синтез можно услышать у ассистентов Салют, в колл-центре по номеру 900, в Сболе. Сейчас мы ищем ребят, которые будут работать над базовым качеством, мультимодальным Гигачатом и другими классными проектами. Как у нас все устроено: команда живет в 4 городах, общаемся текстом и по видео, иногда пьем пиво; работать можно в удобное время, обязательных созвонов 1-3 в неделю; очень много",https://www.rabota.ru/vacancy/54268473/,по договоренности
Intern Computer Vision Engineer (SberAI),СБЕР,0,0,"Москва,","Мы – команда Компьютерного зрения проекта Embodied AI. Наша ключевая задача — упростить и удешевить сбор данных для обучения роботов-гуманоидов. Для этого мы дообучаем и комбинируем современные мультимодальные модели, развиваем методы понимания трёхмерной сцены и строим пайплайны, которые автоматически преобразуют сырые эгоцентричные фото и видео в структурированную разметку, пригодную для обучения моделей. Обязанности Разработка и поддержка end-to-end пайплайнов обработки эгоцентричных видео: с",https://www.rabota.ru/vacancy/54267932/,по договоренности
Senior Data Scientist (Computer Vision SberAI),СБЕР,0,0,"Москва,","Команда разрабатывает интеллектуальную систему анализа видеоданных. Система позволяет на основе фактов из обработанных видео давать ответы пользователю на открытые вопросы. В основе лежит механизм мультиагентного взаимодействия и передовые модели VLM. Система может использоваться как для простого мониторинга, так и для поддержки принятия сложных управленческих решений. Обязанности анализ требований на разработку инфраструктуры для обработки видеоданных и запуска моделей выработка плана решения и",https://www.rabota.ru/vacancy/54262329/,по договоренности
Senior Deep Learning Engineer (Speech / Audio Foundation Models),СБЕР,0,0,"Москва,","Мы ищем сильного Deep Learning инженера для развития и вывода на принципиально новый уровень GigaAM — лучшей open-source модели для распознавания речи на русском языке. GigaAM — это не только исследовательский проект, но и core-модель, которая определяет качество работы многих ключевых продуктов экосистемы: GigaChat Audio, ASR, TTS, GigaChat Video и других. Сейчас мы стоим перед масштабным вызовом: кратное увеличение параметров модели, масштабирование данных на несколько порядков, расширение язы",https://www.rabota.ru/vacancy/54263776/,по договоренности
Senior Deep Learning Engineer (Speech LLM),СБЕР,0,0,"Москва,","О проекте: Мы ищем сильного Deep Learning инженера в команду, создающую ASR-системы нового поколения на пересечении технологий распознавания речи и audio-native LLM. Один из наших главных вызовов сейчас — разработка Next Gen LLM-based ASR. Это инструктивная система, которая выходит далеко за рамки обычного speech-to-text: она будет поддерживать выдачу временных меток, диаризацию спикеров, тегирование звуковых событий и key word prompting. База для быстрого старта уже готова: у нас есть мощный Fo",https://www.rabota.ru/vacancy/54263774/,по договоренности
Data Scientist Audio (Антидипфейк),СБЕР,250000,300000,"Москва,","Мы развиваем решения по выявлению поддельного и генеративного контента, видео-, аудио-дипфейков. Делаем Disruptive Research, а потом выкатываем его в пром. Мы находимся в поиске Data Scientist уровня Middle+/Senior для обработки Аудиоданных, который будет совершенствовать текущие методы детекции, разрабатывать и реализовывать новые, создавать SoTA решения. Обязанности поддержка и развитие существующего решения по детекции аудиодипфейков, контроль деградации модели и дообучение разработка новых а",https://www.rabota.ru/vacancy/54281034/,250 000 — 300 000 руб.
Медсестра,jobcart,0,70000,"Москва,","Вакансия компании ООО ""ЭМАЙЭЛСИ"" Добро пожаловать в MILC - Multicultural Innovative Learning Cluster.  MILC - это команда, построенная на доверии, поддержке и общих ценностях. Мы ценим профессионализм, открытость новому и готовность делиться знаниями. Если вы стремитесь к постоянному развитию, легко встраиваете современные технологии в учебный процесс, заботитесь о своём здоровье и предпочитаете активный, осознанный ритм жизни - вы наш человек. Присоединяйтесь. Отправьте резюме, и давайте вместе",https://www.rabota.ru/vacancy/54269793/,до 70 000 руб.
AI Engineer,СБЕР,0,0,"Москва,","Команда занимается разработкой Disrupt-решений в сфере Безопасности Сбера Цель команды – разработка инновационных решений, проверка гипотез, посредством подготовки MVP и PoC планируемых продуктов, поддержка продуктовых команд в части оперативной разработки. Обязанности разработка ML-алгоритмов разработка ML-моделей поддержка существующих AI-решений разработка AI-Агентов проработка AI-архитектуры внедрения решений в целевой процесс генерация идей. Требования высшее образование коммерческий опыт р",https://www.rabota.ru/vacancy/54280694/,по договоренности
Intern AI Research (Sber AI),СБЕР,0,0,"Москва,","Research команда Sber AI ищет стажера для проведения прикладных исследований в области Embodied AI. Одним из наших ключевых направлений является работа с такой физической модальностью, как запахи. Применение искусственного интеллекта для анализа запахов является малоизученным, но перспективным направлением, которое требует как фундаментального анализа с точки зрения химического состава изучаемых веществ, так и работу с физическими датчиками. Нашей основной задачей является получение эффективных ",https://www.rabota.ru/vacancy/54267772/,по договоренности
Senior AI Agent Engineer (блок финансы),СБЕР,0,0,"Москва,","Ищем сильного универсального разработчика в проект агента финансового анализа. Роль подойдёт специалисту, который умеет совмещать backend-разработку, интеграции, агентную логику и быстрое доведение новых сценариев до рабочего состояния. Обязанности Разработка и развитие backend-логики агента на Python Реализация новых сценариев финансового анализа Работа с документами, обработкой данных и аналитическими пайплайнами Подключение и развитие инструментов, необходимых для работы агента Интеграция с в",https://www.rabota.ru/vacancy/54263643/,по договоренности
Системный аналитик (антифрод),СБЕР,0,0,"Москва,","Мы - команда, создающая комплексную систему противодействия мошенничеству и обеспечивающая online/offline безопасность миллионов клиентов банка 24/7/365, предоставляя инструменты собственной разработки для: Построения графа связей (позволяет проанализировать не только объекты и их свойства, но также их связи с другими объектами различных уровней и характеристик и применяется для получения дополнительных знаний об объекте за счет извлечения знаний о его окружении, выявления наиболее значимой инфо",https://www.rabota.ru/vacancy/54279652/,по договоренности
Системный аналитик,СБЕР,0,350000,"Москва,","Sber Process Mining – система интеллектуального анализа бизнес-процессов от Сбера. Система позволяет на основе данных из информационных систем компаний делать автоматизированную аналитику с применением AI и BI инструментов. Process Mining позволяет обнаружить «узкие места» в бизнес-процессах, выявлять недобросовестные практики и потенциал к повышению эффективности процессов, росту прибыли компании и удовлетворенности клиентов. Обязанности сбор, детализация, уточнение требований формализация функ",https://www.rabota.ru/vacancy/54280617/,до 350 000 руб.
Специалист по контекстной рекламе,"ООО ""МЭЙН ТАРГЕТ ГРУПП""",0,0,"Москва,","Яндекс.Метрика, Яндекс.Директ, интернет-реклама, контекстная реклама, оптимизация рекламных кампаний",https://www.rabota.ru/vacancy/50435029/,по договоренности
Java-разработчик (Middle+),"АО ""НПФ Сбербанка""",0,0,"Москва,","Наша команда разрабатывает операции социально-значимого характера, направленные на развитие сервисов пост-продажных операций в сети ВСП пенсионных продуктов. Кроме того, наша команда занимается разработкой флагманского продукта Программа долгосрочных сбережений. Каждому новому сотруднику предоставляется ментор, который поможет быстро адаптироваться и освоиться в процессах. У каждой компетенции есть лидер, готовый оказать поддержку в сложных ситуациях. Обязанности Поддержка генерации и отбора иде",https://www.rabota.ru/vacancy/54276598/,по договоренности
Embedded-разработчик,"JCat, сервис размещения объявлений",150000,0,"Москва,",Программирование микроконтроллеров,https://www.rabota.ru/vacancy/54269193/,от 150 000 руб.
Python Developer (AI-агенты и LegalTech),СБЕР,0,0,"Москва,","Команда юридических ИИ-систем и автоматизации правового анализа Основной стек: Python 3.10+, FastAPI, LangChain / LangGraph, OpenSearch, Redis, Kafka Обязанности • Разработка и поддержка промышленных пайплайнов вокруг больших языковых моделей (LLM) — интеграция агентов, RAG-модулей, кэширования и асинхронных очередей. • Реализация многоагентных систем на базе LangGraph / LangChain — orchestration, routing, memory-модули, логика принятия решений. • Интеграция LLM API (GigaChat, OpenAI, Gemini, Qw",https://www.rabota.ru/vacancy/54280695/,по договоренности
Fullstack-разработчик (Bitrix),СберСтрахование,0,0,"Москва,","Присоединяйся к команде, которая создаёт современную витрину страховых продуктов Сбер страхования! У нас ты будешь работать над актуальными решениями в сфере страхования, участвовать в интеграции с цифровыми сервисами банка и развивать AI -консультанта по страхованию на базе GigaChat . Обязанности Доработка и поддержка сайта на платформе 1C-Bitrix; Активное участие в разработке и развитии процессов автоматизации, в части развития сайта компании; Выявление слабых сторон проекта, тестирование, ана",https://www.rabota.ru/vacancy/54271900/,по договоренности
Frontend-разработчик (React),"АО ""НПФ Сбербанка""",0,0,"Москва,","Мы ищем сильного Frontend-разработчика в команду, которая занимается разработкой личного кабинета клиента компании. Это один из основных каналов  взаимодействия между компанией и клиентом, поэтому мы стремимся сделать ЛК удобным и максимально полезным с точки зрения функционала. Обязанности Написание кода в команде, работающей по методологии гибкой разработки; Проектирование и реализация клиентских приложений, включая архитектурные решения. Соблюдение правил по стилю, архитектуре и стеку; Повыше",https://www.rabota.ru/vacancy/54276549/,по договоренности
Программист,АО &quot;Аметист-Стан&quot;,0,0,"Москва,",CSS,https://www.rabota.ru/vacancy/54205184/,по договоренности
Fullstack QA Engineer,СБЕР,0,0,"Москва,","Наша команда сейчас находится в поиске тестировщика для поддержки и развития аналитической платформы для анализа клиентского поведения в мобильном и веб-приложении СберБанк Онлайн. Платформа обеспечивает онлайн обработку данных, построение на лету базовых продуктовых отчетов, крэш-аналитику, а также детальную BI-аналитику выделенных сегментов. Пользователи – внутренние клиенты Банка (владельцы продуктов, аналитики, UX-исследователи). Соискатели, имеющие опыт или желающие его приобрести в области",https://www.rabota.ru/vacancy/54275185/,по договоренности
Middle разработчик .net (C#),"ООО ""ЁСИМ""",100000,0,"Москва,","C#, ASP.NET, GIT, MVVM",https://www.rabota.ru/vacancy/47641370/,от 100 000 руб.
IOS developer,СБЕР,0,0,"Москва,","Наша команда совершенствует подходы по работе с цифровыми ассистентами за счет использования собственной большой языковой модели - GigaChat и фреймворков по работе с ней. Наши продукты и сервисы дают новые возможности для миллионов клиентов наших приложений (Сбербанк Онлайн, Инвестор, СберКидс и другие) и помогают им решать их потребности наиболее эффективно. Первый этап отбора на эту вакансию — общение с AI- рекрутером. После отклика вам на почту придёт приглашение пройти первичное интервью с Г",https://www.rabota.ru/vacancy/54270635/,по договоренности
PHP-разработчик,"ООО ""ЭД-АЙТИ""",300000,300000,"Москва,","PHP, laravel",https://www.rabota.ru/vacancy/53727798/,300 000 руб.
Web-программист,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ХАДАВИ МОГАДДАМ МОРТЕЗА,80000,0,"Москва,","PHP, MySQL, CSS, HTML5, JavaScript, AJAX, SQL, CMS WordPress, laravel, GIT, React, Typescript",https://www.rabota.ru/vacancy/50080968/,от 80 000 руб.
PHP разработчик,"ООО ""Каунсил Девелопмент""",0,150000,"Москва,","Apache, Linux, Nginx, PHP, PostgreSQL, MySQL, JavaScript, laravel, Elasticsearch, Yii, REST",https://www.rabota.ru/vacancy/54250975/,до 150 000 руб.
Программист 1С (удаленно),"ООО ""АВЕНТА""",35000,55000,"Москва,",разработка нетиповых конфигураций 1С,https://www.rabota.ru/vacancy/50025853/,35 000 — 55 000 руб.
Разработчик,"ООО ""ЛДТ""",60000,200000,"Москва,",Python,https://www.rabota.ru/vacancy/53893400/,60 000 — 200 000 руб.
Frontend-разработчик,"ООО ""РОНИКС СИСТЕМС""",60000,100000,"Москва,","HTML, JavaScript, SCSS",https://www.rabota.ru/vacancy/53231865/,60 000 — 100 000 руб.
Разработчик 1С,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ МЕНДУБАЕВ РУСЛАН ИЛЬСАРОВИЧ,100000,0,"Москва,",1С,https://www.rabota.ru/vacancy/50184198/,от 100 000 руб.
Web-программист,"ООО ""ЦЕНТР ИННОВАЦИОННЫХ ТЕХНОЛОГИЙ""",0,0,"Москва,","PHP, PostgreSQL, CSS, HTML5, разработка сайтов",https://www.rabota.ru/vacancy/54233949/,по договоренности
Python - разработчик,"ООО ""ДЖЕТКЕЙС""",0,0,"Москва,","Процесс и задачи: написание нового функционала участие в разработке крупного продукта на Python участие в дальнейшей поддержке и развитии продукта на Python; оценка, декомпозиция задач; участие в принятии и реализации архитектурных/технических решений большим плюсом будет, если есть опыт написания ботов Требования: Работа в офисе Опыт коммерческой разработки на Python 3 Опыт работы с SQL и NoSQL базами данных Понимание принципов ООП и асинхронного программирования Умение документировать код Умен",https://www.rabota.ru/vacancy/50499806/,по договоренности
Программист 1С (стажер),"ООО ""АСМ""",60000,0,"Москва,","IT-компания - Архитектура Систем Менеджмента! Знаем все про 1С ! Предоставляем услуги по сопровождению, автоматизации и комплексному выполнению проектов на базе 1С:Предприятие 8. Также мы разрабатываем собственные продукты на платформе 1С. Наши разработки: - Модуль ""АСМ CRM"" - Модуль ""Проекты и управление задачами"" Обязанности: Разрабатывать, дорабатывать, сопровождать и поддерживать программные продукты на базе 1С:Предприятие 8 (Есть как внутренние задачи, так и по клиентам - P.S общаться с кли",https://www.rabota.ru/vacancy/50368043/,от 60 000 руб.
"Программист php, Битрикс (джуниор)",ИП Воробьев Денис Александрович,80000,150000,"Москва,","HTML, PHP, CSS, JavaScript",https://www.rabota.ru/vacancy/50397587/,80 000 — 150 000 руб.
"Бэкенд-разработчик Java, Senior","ООО ""ИНФОТЕХ ИНТЕГРАТОР""",150000,0,"Москва,","Обязательно: - Знание ООП и шаблонов проектирования; - Опыт работы с Java 11 и выше; - Глубокое понимание и опыт работы с фреймворками Spring и Spring Boot; - Опыт работы с ORM фреймворками и реляционными базами данных, особенно с PostgreSQL; - Понимание принципов микросервисной архитектуры и опыт ее применения в проектах; - Умение разрабатывать высококачественный, эффективный и масштабируемый код; - Опыт работы с REST- сервисами \ WebSocket ; - Опыт работы с Docker, Kubernetes; Желательно: - Пр",https://www.rabota.ru/vacancy/50004187/,от 150 000 руб.
Backend-разработчик,"ООО ""ТОП-АЙТИ""",60000,150000,"Казань,","PHP, PostgreSQL, MySQL, SQL, laravel, GIT",https://www.rabota.ru/vacancy/50501375/,60 000 — 150 000 руб.
Разработчик php,Digital-агентство Цунами,0,0,"Иваново,","HTML, PHP, MySQL, CMS 1C-Bitrix, CMS WordPress, MariaDB",https://www.rabota.ru/vacancy/50415451/,по договоренности
Backend-разработчик Senior (Python),"ООО ""ССЛ""",245000,245000,"Санкт-Петербург,","PostgreSQL, Python, GIT, Redis, Docker, Golang, CI/CD, Django REST framework, FastAPI",https://www.rabota.ru/vacancy/50533161/,245 000 руб.
Backend-разработчик,"ООО ""ССЛ""",150000,150000,"Санкт-Петербург,","PostgreSQL, Python, GIT, Redis, Docker, Golang",https://www.rabota.ru/vacancy/50533147/,150 000 руб.
IT директор CTO,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ СКЛЯР ФЕДОР ВАСИЛЬЕВИЧ,0,0,"Москва,","Обязанности: Разработка архитектуры проекта Управление командой разработчиков (постановка задач, контроль сроков) Обеспечение бесперебойной работы всех технических систем, анализ и минимизация рисков, определяющих качество услуг Планирование бюджета, закупка оборудования и необходимых облачных сервисов; Обеспечение кибербезопасности Требования: Опыт работы: от 3 лет Опыт работы с AAS Frontend\backend Python, Java, PHP и др Приветствуется опыт в фин техе, работа со статистикой, оценка рисков, опр",https://www.rabota.ru/vacancy/53644741/,по договоренности
Разработчик 1С,"ООО""ЮТЕХБОТ""",80000,120000,"Пермь,","1C, SQL, 1С программирование",https://www.rabota.ru/vacancy/47318275/,80 000 — 120 000 руб.
